title,desc,location,date,imageurl,cluster,tags,rate
Zojila,"Enroute to Srinagar, below we could see the base camps of Amarnath Travellers",Ladakh,,images/photographs/stories/ladakhdiaries/90.jpg,ladakh,,
Sonmarg,,Ladakh,,images/photographs/stories/ladakhdiaries/91.jpg,ladakh,,
Nigeen Lake,Winds and Rains at Nigeen Lake.,Ladakh,,images/photographs/stories/ladakhdiaries/92.jpg,ladakh,bw,
Nigeen Lake,Soon after the clouds cleared and the skies showed up a wonderful color show,Ladakh,,images/photographs/stories/ladakhdiaries/93.jpg,ladakh,,
Hundar Sand Dunes,,Ladakh,recent,images/photographs/stories/ladakhdiaries/94.jpg,ladakh,,star
Leh City,,Ladakh,recent,images/photographs/stories/ladakhdiaries/95.jpg,ladakh,,star
Pangong Tso,,Ladakh,recent,images/photographs/stories/ladakhdiaries/96.jpg,ladakh,,star
Rohtang Pass,,Ladakh,recent,images/photographs/stories/ladakhdiaries/97.jpg,ladakh,,star
Shey Palace,,Ladakh,recent,images/photographs/stories/ladakhdiaries/98.jpg,ladakh,,star
Roads of Shyok,,Ladakh,recent,images/photographs/stories/ladakhdiaries/99.jpg,ladakh,,star
Soomor,,Ladakh,recent,images/photographs/stories/ladakhdiaries/100.jpg,ladakh,,star
Suraj Tal,,Ladakh,recent,images/photographs/stories/ladakhdiaries/101.jpg,ladakh,,star
Turtuk,,Ladakh,recent,images/photographs/stories/ladakhdiaries/102.jpg,ladakh,,star
Turtuk,,Ladakh,recent,images/photographs/stories/ladakhdiaries/103.jpg,ladakh,,star
